room,date,area,event_min,max_min,year,month,day
A,11/2/09 0:00,988,450,1080,2009,November,2
A,11/3/09 0:00,988,0,1080,2009,November,3
A,11/4/09 0:00,988,180,1080,2009,November,4
A,11/5/09 0:00,988,0,1080,2009,November,5
A,11/6/09 0:00,988,135,1080,2009,November,6
A,11/7/09 0:00,988,510,1080,2009,November,7
A,11/8/09 0:00,988,330,1080,2009,November,8
A,11/9/09 0:00,988,0,1080,2009,November,9
A,11/10/09 0:00,988,630,1080,2009,November,10
A,11/11/09 0:00,988,120,1080,2009,November,11
A,11/12/09 0:00,988,75,1080,2009,November,12
A,11/13/09 0:00,988,0,1080,2009,November,13
A,11/14/09 0:00,988,0,1080,2009,November,14
A,11/15/09 0:00,988,1259,1080,2009,November,15
A,11/16/09 0:00,988,420,1080,2009,November,16
A,11/17/09 0:00,988,1259,1080,2009,November,17
A,11/18/09 0:00,988,0,1080,2009,November,18
A,11/19/09 0:00,988,0,1080,2009,November,19
A,11/20/09 0:00,988,725,1080,2009,November,20
A,11/21/09 0:00,988,0,1080,2009,November,21
A,11/22/09 0:00,988,0,1080,2009,November,22
A,11/23/09 0:00,988,0,1080,2009,November,23
A,11/24/09 0:00,988,0,1080,2009,November,24
A,11/25/09 0:00,988,0,1080,2009,November,25
A,11/26/09 0:00,988,0,1080,2009,November,26
A,11/27/09 0:00,988,0,1080,2009,November,27
A,11/28/09 0:00,988,0,1080,2009,November,28
A,11/29/09 0:00,988,0,1080,2009,November,29
A,11/30/09 0:00,988,0,1080,2009,November,30
A,12/1/09 0:00,988,690,1080,2009,December,1
A,12/2/09 0:00,988,959,1080,2009,December,2
A,12/3/09 0:00,988,959,1080,2009,December,3
A,12/4/09 0:00,988,959,1080,2009,December,4
A,12/5/09 0:00,988,0,1080,2009,December,5
A,12/6/09 0:00,988,1019,1080,2009,December,6
A,12/7/09 0:00,988,720,1080,2009,December,7
A,12/8/09 0:00,988,870,1080,2009,December,8
A,12/9/09 0:00,988,780,1080,2009,December,9
A,12/10/09 0:00,988,0,1080,2009,December,10
A,12/11/09 0:00,988,0,1080,2009,December,11
A,12/12/09 0:00,988,0,1080,2009,December,12
A,12/13/09 0:00,988,360,1080,2009,December,13
A,12/14/09 0:00,988,885,1080,2009,December,14
A,12/15/09 0:00,988,0,1080,2009,December,15
A,12/16/09 0:00,988,0,1080,2009,December,16
A,12/17/09 0:00,988,0,1080,2009,December,17
A,12/18/09 0:00,988,0,1080,2009,December,18
A,12/19/09 0:00,988,0,1080,2009,December,19
A,12/20/09 0:00,988,0,1080,2009,December,20
A,12/21/09 0:00,988,0,1080,2009,December,21
A,12/22/09 0:00,988,0,1080,2009,December,22
A,12/23/09 0:00,988,0,1080,2009,December,23
A,12/24/09 0:00,988,0,1080,2009,December,24
A,12/25/09 0:00,988,0,1080,2009,December,25
A,12/26/09 0:00,988,0,1080,2009,December,26
A,12/27/09 0:00,988,0,1080,2009,December,27
A,12/28/09 0:00,988,0,1080,2009,December,28
